Date,Android,,Total Date,iPhone Frequency,Android Frequency
4/6/16,7,,2016-06-10,6,6
5/6/16,3,,2016-06-11,8,3
6/6/16,5,,2016-06-12,4,4
7/6/16,3,,2016-06-13,8,3
8/6/16,11,,2016-06-14,3,2
9/6/16,9,,2016-06-15,4,4
10/6/16,6,,2016-06-16,5,1
11/6/16,3,,2016-06-17,7,4
12/6/16,4,,2016-06-18,4,1
13/6/16,3,,2016-06-19,5,1
14/6/16,2,,2016-06-21,1,2
15/6/16,4,,2016-06-22,1,2
16/6/16,1,,2016-06-23,1,6
17/6/16,4,,2016-06-24,5,9
18/6/16,1,,2016-06-25,4,1
19/6/16,1,,2016-06-26,6,11
20/6/16,2,,2016-06-28,1,6
21/6/16,2,,2016-06-29,3,6
22/6/16,2,,2016-06-30,6,3
23/6/16,6,,2016-07-01,9,0
24/6/16,9,,2016-07-02,8,5
25/6/16,1,,2016-07-04,1,12
26/6/16,11,,2016-07-06,4,11
27/6/16,6,,2016-07-07,5,1
28/6/16,6,,2016-07-08,4,2
29/6/16,6,,2016-07-09,1,1
30/6/16,3,,2016-07-11,4,0
2/7/16,5,,2016-07-12,11,3
3/7/16,8,,2016-07-13,14,1
4/7/16,12,,2016-07-14,4,2
5/7/16,2,,2016-07-15,1,3
6/7/16,11,,2016-07-16,1,6
7/7/16,1,,2016-07-17,1,16
8/7/16,2,,2016-07-18,2,2
9/7/16,1,,2016-07-19,4,3
10/7/16,4,,2016-07-20,2,4
12/7/16,3,,2016-07-21,6,7
13/7/16,1,,2016-07-22,2,4
14/7/16,2,,2016-07-23,1,15
15/7/16,3,,2016-07-24,2,16
16/7/16,6,,2016-07-25,6,11
17/7/16,16,,2016-07-26,8,7
18/7/16,2,,2016-07-27,8,11
19/7/16,3,,2016-07-28,9,3
20/7/16,4,,2016-07-29,15,12
21/7/16,7,,2016-07-30,16,10
22/7/16,4,,2016-08-01,17,5
23/7/16,15,,2016-08-02,11,1
24/7/16,16,,2016-08-03,3,3
25/7/16,11,,2016-08-04,5,0
26/7/16,7,,2016-08-05,7,1
27/7/16,11,,2016-08-06,4,4
28/7/16,3,,2016-08-07,2,4
29/7/16,12,,2016-08-08,11,1
30/7/16,10,,2016-08-10,9,3
31/7/16,5,,2016-08-11,4,0
1/8/16,5,,2016-08-12,2,8
2/8/16,1,,2016-08-13,1,7
3/8/16,3,,2016-08-15,3,2
5/8/16,1,,2016-08-16,4,0
6/8/16,4,,2016-08-17,6,0
7/8/16,4,,2016-08-19,7,0
8/8/16,1,,2016-08-20,6,3
9/8/16,5,,2016-08-21,1,3
10/8/16,3,,2016-08-22,2,11
12/8/16,8,,2016-08-23,5,3
13/8/16,7,,2016-08-24,8,0
14/8/16,8,,2016-08-25,7,3
15/8/16,2,,2016-08-26,10,9
18/8/16,2,,2016-08-27,2,3
20/8/16,3,,2016-08-28,5,3
21/8/16,3,,2016-08-29,2,8
22/8/16,11,,2016-08-30,4,2
23/8/16,3,,2016-08-31,1,1
25/8/16,3,,2016-09-01,9,4
26/8/16,9,,2016-09-02,2,3
27/8/16,3,,2016-09-03,2,2
28/8/16,3,,2016-09-05,6,5
29/8/16,8,,2016-09-06,5,3
30/8/16,2,,2016-09-07,6,1
31/8/16,1,,2016-09-08,6,5
1/9/16,4,,2016-09-09,4,1
2/9/16,3,,2016-09-10,2,9
3/9/16,2,,2016-09-11,1,1
4/9/16,8,,2016-09-12,1,2
5/9/16,5,,2016-09-13,5,2
6/9/16,3,,2016-09-14,9,2
7/9/16,1,,2016-09-15,11,3
8/9/16,5,,2016-09-16,1,3
9/9/16,1,,2016-09-17,6,8
10/9/16,9,,2016-09-18,1,1
11/9/16,1,,2016-09-19,6,3
12/9/16,2,,2016-09-20,6,1
13/9/16,2,,2016-09-21,6,0
14/9/16,2,,2016-09-22,1,4
15/9/16,3,,2016-09-23,6,0
16/9/16,3,,2016-09-24,4,3
17/9/16,8,,2016-09-25,1,3
18/9/16,1,,2016-09-26,2,2
19/9/16,3,,2016-09-27,29,5
20/9/16,1,,2016-09-28,7,1
22/9/16,4,,2016-09-29,7,0
24/9/16,3,,2016-09-30,5,7
25/9/16,3,,2016-10-01,2,4
26/9/16,2,,2016-10-02,2,4
27/9/16,5,,2016-10-03,3,0
28/9/16,1,,2016-10-04,7,1
30/9/16,7,,2016-10-05,24,23
1/10/16,4,,2016-10-06,11,0
2/10/16,4,,2016-10-07,2,0
4/10/16,1,,2016-10-08,1,2
5/10/16,23,,2016-10-09,4,8
8/10/16,2,,2016-10-10,11,3
9/10/16,8,,2016-10-11,11,4
10/10/16,3,,2016-10-12,6,1
11/10/16,4,,2016-10-13,8,1
12/10/16,1,,2016-10-14,3,0
13/10/16,1,,2016-10-15,8,5
15/10/16,5,,2016-10-16,7,12
16/10/16,12,,2016-10-17,10,9
17/10/16,9,,2016-10-18,11,1
18/10/16,1,,2016-10-19,20,0
20/10/16,2,,2016-10-20,43,2
21/10/16,1,,2016-10-21,11,1
22/10/16,4,,2016-10-22,12,4
23/10/16,3,,2016-10-23,9,3
24/10/16,2,,2016-10-24,16,2
26/10/16,1,,2016-10-25,20,0
27/10/16,3,,2016-10-26,1,1
28/10/16,2,,2016-10-27,15,3
29/10/16,4,,2016-10-28,6,2
30/10/16,4,,2016-10-29,6,4
1/11/16,3,,2016-10-30,5,4
2/11/16,5,,2016-10-31,7,0
3/11/16,2,,2016-11-01,10,3
5/11/16,1,,2016-11-02,8,5
8/11/16,4,,2016-11-03,6,2
9/11/16,1,,2016-11-04,12,0
11/11/16,4,,2016-11-05,8,1
12/11/16,1,,2016-11-06,8,0
13/11/16,7,,2016-11-07,12,0
15/11/16,2,,2016-11-08,7,4
16/11/16,5,,2016-11-09,1,1
17/11/16,1,,2016-11-10,1,0
18/11/16,3,,2016-11-11,1,4
19/11/16,4,,2016-11-13,1,7
20/11/16,5,,2016-11-22,2,6
22/11/16,6,,2016-11-24,1,2
23/11/16,1,,2016-11-29,2,8
24/11/16,2,,2016-11-30,3,7
26/11/16,1,,2016-12-01,2,2
27/11/16,12,,2016-12-02,1,0
28/11/16,2,,2016-12-03,2,4
29/11/16,8,,2016-12-05,2,0
30/11/16,7,,2016-12-06,2,1
1/12/16,2,,2016-12-07,3,1
3/12/16,4,,2016-12-08,3,2
4/12/16,11,,2016-12-09,3,0
6/12/16,1,,2016-12-10,4,3
7/12/16,1,,2016-12-12,1,6
8/12/16,2,,2016-12-13,1,7
10/12/16,3,,2016-12-14,1,0
11/12/16,4,,2016-12-15,2,3
12/12/16,6,,2016-12-16,2,1
13/12/16,7,,2016-12-17,2,3
15/12/16,3,,2016-12-18,1,2
16/12/16,1,,2016-12-20,2,3
17/12/16,3,,2016-12-22,1,4
18/12/16,2,,2016-12-23,1,5
19/12/16,2,,2016-12-24,1,3
20/12/16,3,,2016-12-25,1,1
21/12/16,3,,2016-12-26,1,2
22/12/16,4,,2016-12-28,1,4
23/12/16,5,,2016-12-29,1,0
24/12/16,3,,2016-12-30,1,2
25/12/16,1,,2016-12-31,1,1
26/12/16,2,,2017-01-01,1,0
27/12/16,3,,2017-01-03,3,7
28/12/16,4,,2017-01-06,2,9
30/12/16,2,,2017-01-07,1,7
31/12/16,1,,2017-01-09,1,7
2/1/17,7,,2017-01-10,4,0
3/1/17,7,,2017-01-11,1,5
4/1/17,9,,2017-01-12,1,5
5/1/17,6,,2017-01-18,1,6
6/1/17,9,,2017-01-19,4,4
7/1/17,7,,2017-01-20,12,1
8/1/17,5,,2017-01-21,1,1
9/1/17,7,,2017-01-24,3,1
11/1/17,5,,2017-01-25,2,6
12/1/17,5,,2017-01-26,4,5
13/1/17,7,,2017-01-27,5,2
14/1/17,3,,2017-01-28,1,3
15/1/17,8,,2017-01-29,2,5
16/1/17,3,,2017-01-30,2,5
17/1/17,9,,2017-02-01,1,3
18/1/17,6,,2017-02-02,1,7
19/1/17,4,,2017-02-06,1,4
20/1/17,1,,2017-02-07,2,2
21/1/17,1,,2017-02-08,7,4
22/1/17,4,,2017-02-09,2,6
23/1/17,1,,2017-02-10,1,2
24/1/17,1,,2017-02-11,2,6
25/1/17,6,,2017-02-12,2,6
26/1/17,5,,2017-02-13,3,0
27/1/17,2,,2017-02-14,5,1
28/1/17,3,,2017-02-15,5,6
29/1/17,5,,2017-02-16,1,5
30/1/17,5,,2017-02-17,2,5
31/1/17,3,,2017-02-21,2,1
1/2/17,3,,2017-02-23,1,0
2/2/17,7,,2017-02-24,1,5
3/2/17,7,,2017-02-25,1,6
4/2/17,9,,2017-02-27,2,0
5/2/17,5,,2017-03-01,2,1
6/2/17,4,,2017-03-03,5,6
7/2/17,2,,2017-03-05,1,2
8/2/17,4,,2017-03-06,3,0
9/2/17,6,,2017-03-07,2,6
10/2/17,2,,2017-03-08,5,1
11/2/17,6,,2017-03-09,3,0
12/2/17,6,,2017-03-10,1,0
14/2/17,1,,2017-03-11,1,0
15/2/17,6,,2017-03-13,5,0
16/2/17,5,,2017-03-14,2,0
17/2/17,5,,2017-03-15,7,0
18/2/17,3,,2017-03-16,6,0
19/2/17,1,,2017-03-17,4,0
20/2/17,3,,2017-03-18,2,0
21/2/17,1,,2017-03-19,1,0
22/2/17,2,,2017-03-20,7,0
24/2/17,5,,2017-03-21,4,0
25/2/17,6,,2017-03-22,1,0
26/2/17,4,,2017-03-23,5,0
28/2/17,1,,2017-03-24,4,0
1/3/17,1,,2017-03-25,2,2
2/3/17,1,,2017-03-26,1,0
3/3/17,6,,2017-03-27,1,0
4/3/17,7,,2017-03-28,10,0
5/3/17,2,,2017-03-29,3,0
7/3/17,6,,2017-03-30,8,0
8/3/17,1,,2017-03-31,6,0
25/3/17,2,,2017-04-01,7,0
,,,2017-04-02,3,0
,,,2017-04-03,8,0
,,,2017-04-04,2,0
,,,2017-04-06,2,0
,,,2017-04-08,5,0
,,,2017-04-09,2,0
,,,2017-04-10,2,0
,,,2017-04-11,4,0
,,,2017-04-12,6,0
,,,2017-04-13,4,0
,,,2017-04-14,1,0
,,,2017-04-16,5,0
,,,2017-04-17,7,0
,,,2017-04-18,7,0
,,,2017-04-19,4,0
,,,2017-04-20,2,0
,,,2017-04-21,4,0
,,,2017-04-22,6,0
,,,2017-04-23,7,0
,,,2017-04-24,5,0
,,,2017-04-25,5,0
,,,2017-04-26,7,0
,,,2017-04-27,11,0
,,,2017-04-28,3,0
,,,2017-04-29,3,0
,,,2017-04-30,5,0
,,,2017-05-01,1,0
,,,2017-05-02,4,0
,,,2017-05-03,3,0
,,,2017-05-04,9,0
,,,2017-05-05,7,0
,,,2017-05-06,1,0
,,,2017-05-07,4,0
,,,2017-05-08,8,0
,,,2017-05-09,2,0
,,,2017-05-10,9,0
,,,2017-05-11,6,0
,,,2017-05-12,8,0
,,,2017-05-13,1,0
,,,2017-05-14,1,0
,,,2017-05-15,1,0
,,,2017-05-16,5,0
,,,2017-05-18,2,0
,,,2017-05-19,3,0
,,,2017-05-20,2,0
,,,2017-05-21,2,0
,,,2017-05-22,1,0
,,,2017-05-23,4,0
,,,2017-05-24,2,0
,,,2017-05-25,2,0
,,,2017-05-26,4,0
,,,2017-05-27,7,0
,,,2017-05-28,8,0
,,,2017-05-29,6,0
,,,2017-05-30,3,0
,,,2017-05-31,7,0
,,,2017-06-01,4,0
,,,2017-06-02,2,0
,,,2017-06-03,2,0
,,,2017-06-04,3,0
,,,2017-06-05,6,0
,,,2017-06-06,8,0
,,,2017-06-07,4,0
,,,2017-06-09,3,0
,,,2017-06-11,4,0
,,,2017-06-12,5,0
,,,2017-06-13,8,0
,,,2017-06-14,3,0
,,,2017-06-15,5,0
,,,2017-06-16,6,0
,,,2017-06-17,2,0
,,,2017-06-18,4,0
,,,2017-06-19,8,0
,,,2017-06-20,5,0
,,,2017-06-21,9,0
,,,2017-06-22,13,0
,,,2017-06-23,2,0
,,,2017-06-24,6,0
,,,2017-06-25,1,0
,,,2017-06-26,7,0
,,,2017-06-27,7,0
,,,2017-06-28,7,0
,,,2017-06-29,11,0
,,,2017-06-30,5,0
,,,2017-07-01,10,0
,,,2017-07-02,3,0
,,,2017-07-03,8,0
,,,2017-07-04,5,0
,,,2017-07-05,5,0
,,,2017-07-06,1,0
,,,2017-07-07,7,0
,,,2017-07-08,4,0
,,,2017-07-09,10,0
,,,2017-07-10,5,0
,,,2017-07-11,4,0
,,,2017-07-12,12,0
,,,2017-07-13,3,0
,,,2017-07-14,10,0
,,,2017-07-15,7,0
,,,2017-07-16,8,0
,,,2017-07-17,3,0
,,,2017-07-18,5,0
,,,2017-07-19,4,0
,,,2017-07-20,2,0
,,,2017-07-21,3,0
,,,2017-07-22,13,0
,,,2017-07-23,3,0
,,,2017-07-24,9,0
,,,2017-07-25,17,0
,,,2017-07-26,8,0
,,,2017-07-27,6,0
,,,2017-07-28,9,0
,,,2017-07-29,13,0
,,,2017-07-30,1,0
,,,2017-07-31,3,0
,,,2017-08-01,3,0
,,,2017-08-02,2,0
,,,2017-08-03,5,0
,,,2017-08-04,7,0
,,,2017-08-05,6,0
,,,2017-08-06,1,0
,,,2017-08-07,15,0
,,,2017-08-08,4,0
,,,2017-08-09,4,0
,,,2017-08-10,4,0
,,,2017-08-11,3,0
,,,2017-08-12,6,0
,,,2017-08-14,8,0
,,,2017-08-15,5,0
,,,2017-08-16,10,0
,,,2017-08-17,11,0
,,,2017-08-18,5,0
,,,2017-08-19,9,0
,,,2017-08-20,1,0
,,,2017-08-21,3,0
,,,2017-08-22,4,0
,,,2017-08-23,8,0
,,,2017-08-24,6,0
,,,2017-08-25,11,0
,,,2017-08-26,8,0
,,,2017-08-27,11,0
,,,2017-08-29,2,0
,,,2017-08-30,5,0
,,,2017-08-31,1,0
,,,2017-09-01,5,0
,,,2017-09-02,4,0
,,,2017-09-03,10,0
,,,2017-09-04,1,0
,,,2017-09-05,4,0
,,,2017-09-06,7,0
,,,2017-09-07,9,0
,,,2017-09-08,7,0
,,,2017-09-09,2,0
,,,2017-09-10,2,0
,,,2017-09-11,2,0
,,,2017-09-12,4,0
,,,2017-09-13,3,0
,,,2017-09-14,12,0
,,,2017-09-15,11,0
,,,2017-09-16,2,0
,,,2017-09-17,5,0
,,,2017-09-18,4,0
,,,2017-09-19,6,0
,,,2017-09-20,16,0
,,,2017-09-21,6,0
,,,2017-09-22,9,0
,,,2017-09-23,13,0
,,,2017-09-24,9,0
,,,2017-09-25,8,0
,,,2017-09-26,12,0
,,,2017-09-27,10,0
,,,2017-09-28,5,0
,,,2017-09-29,9,0
,,,2017-09-30,19,0
,,,2017-10-01,7,0
,,,2017-10-02,1,0
,,,2017-10-03,4,0
,,,2017-10-04,8,0
,,,2017-10-05,6,0
,,,2017-10-06,1,0
,,,2017-10-07,12,0
,,,2017-10-08,8,0
,,,2017-10-09,3,0
,,,2017-10-10,8,0
,,,2017-10-11,14,0
,,,2017-10-12,7,0
,,,2017-10-13,9,0
,,,2017-10-14,8,0
,,,2017-10-15,2,0
,,,2017-10-16,7,0
,,,2017-10-17,7,0
,,,2017-10-18,12,0
,,,2017-10-19,6,0
,,,2017-10-20,8,0
,,,2017-10-21,11,0
,,,2017-10-22,5,0
,,,2017-10-23,4,0
,,,2017-10-24,8,0
,,,2017-10-25,12,0
,,,2017-10-26,5,0
,,,2017-10-27,10,0
,,,2017-10-28,6,0
,,,2017-10-29,6,0
,,,2017-10-30,4,0
,,,2017-10-31,11,0
,,,2017-11-01,12,0
,,,2017-11-02,11,0
,,,2017-11-03,20,0
,,,2017-11-04,3,0
,,,2017-11-05,4,0
,,,2017-11-06,6,0
,,,2017-11-07,8,0
,,,2017-11-08,3,0
,,,2017-11-09,2,0
,,,2017-11-10,2,0
,,,2017-11-11,3,0
,,,2017-11-12,3,0
,,,2017-11-13,3,0
,,,2017-11-14,4,0
,,,2017-11-15,10,0
,,,2017-11-16,6,0
,,,2017-11-17,6,0
,,,2017-11-18,2,0
,,,2017-11-19,4,0
,,,2017-11-20,4,0
,,,2017-11-21,2,0
,,,2017-11-22,7,0
,,,2017-11-23,6,0
,,,2017-11-24,8,0
,,,2017-11-25,5,0
,,,2017-11-26,3,0
,,,2017-11-27,4,0
,,,2017-11-28,8,0
,,,2017-11-29,15,0
,,,2017-11-30,13,0
,,,2017-12-01,8,0
,,,2017-12-02,4,0
,,,2017-12-03,10,0
,,,2017-12-04,4,0
,,,2017-12-05,2,0
,,,2017-12-06,4,0
,,,2017-12-07,6,0
,,,2017-12-08,8,0
,,,2017-12-09,13,0
,,,2017-12-10,3,0
,,,2017-12-11,1,0
,,,2017-12-12,5,0
,,,2017-12-13,5,0
,,,2017-12-14,6,0
,,,2017-12-15,4,0
,,,2017-12-16,4,0
,,,2017-12-17,2,0
,,,2017-12-18,12,0
,,,2017-12-19,4,0
,,,2017-12-20,5,0
,,,2017-12-21,5,0
,,,2017-12-22,10,0
,,,2017-12-23,5,0
,,,2017-12-24,3,0
,,,2017-12-25,4,0
,,,2017-12-26,3,0
,,,2017-12-27,1,0
,,,2017-12-28,6,0
,,,2017-12-29,4,0
,,,2017-12-30,6,0
,,,2017-12-31,8,0
,,,2018-01-01,3,0
,,,2018-01-02,11,0
,,,2018-01-03,4,0
,,,2018-01-04,10,0
,,,2018-01-05,6,0
,,,2018-01-06,7,0
,,,2018-01-07,5,0
,,,2018-01-08,7,0
,,,2018-01-09,4,0
,,,2018-01-10,10,0
,,,2018-01-11,6,0
,,,2018-01-12,14,0
,,,2018-01-13,5,0
,,,2018-01-14,6,0
,,,2018-01-15,3,0
,,,2018-01-16,9,0
,,,2018-01-17,4,0
,,,2018-01-18,12,0
,,,2018-01-19,6,0
,,,2018-01-20,8,0
,,,2018-01-21,3,0
,,,2018-01-22,4,0
,,,2018-01-23,5,0
,,,2018-01-24,4,0
,,,2018-01-25,4,0
,,,2018-01-26,7,0
,,,2018-01-27,3,0
,,,2018-01-28,4,0
,,,2018-01-29,1,0
,,,2018-01-31,1,0
,,,2018-02-01,3,0
,,,2018-02-02,3,0
,,,2018-02-03,2,0
,,,2018-02-04,4,0
,,,2018-02-05,7,0
,,,2018-02-06,4,0
,,,2018-02-07,5,0
,,,2018-02-08,3,0
,,,2018-02-09,4,0
,,,2018-02-10,8,0
,,,2018-02-11,4,0
,,,2018-02-12,3,0
,,,2018-02-13,2,0
,,,2018-02-14,2,0
,,,2018-02-15,3,0
,,,2018-02-16,3,0
,,,2018-02-17,8,0
,,,2018-02-18,11,0
,,,2018-02-19,3,0
,,,2018-02-20,13,0
,,,2018-02-21,6,0
,,,2018-02-22,9,0
,,,2018-02-23,10,0
,,,2018-02-24,9,0
,,,2018-02-25,2,0
,,,2018-02-27,8,0
,,,2018-02-28,9,0
,,,2018-03-01,5,0
,,,2018-03-02,9,0
,,,2018-03-03,4,0
,,,2018-03-04,1,0
,,,2018-03-05,6,0
,,,2018-03-06,7,0
,,,2018-03-07,6,0
,,,2018-03-08,5,0
,,,2018-03-09,5,0
,,,2018-03-10,10,0
,,,2018-03-11,6,0
,,,2018-03-12,6,0
,,,2018-03-13,7,0
,,,2018-03-14,10,0
,,,2018-03-15,5,0
,,,2018-03-16,4,0
,,,2018-03-17,4,0
,,,2018-03-18,4,0
,,,2018-03-19,2,0
,,,2018-03-20,2,0
,,,2018-03-21,6,0
,,,2018-03-22,6,0
,,,2018-03-23,6,0
,,,2018-03-24,1,0
,,,2018-03-25,7,0
,,,2018-03-26,4,0
,,,2018-03-27,1,0
,,,2018-03-28,9,0
,,,2018-03-29,4,0
,,,2018-03-31,3,0
,,,2018-04-01,4,0
,,,2018-04-02,9,0
,,,2018-04-03,11,0
,,,2018-04-04,5,0
,,,2018-04-05,4,0
,,,2018-04-06,6,0
,,,2018-04-07,6,0
,,,2018-04-08,7,0
,,,2018-04-09,3,0
,,,2018-04-10,5,0
,,,2018-04-11,10,0
,,,2018-04-12,7,0
,,,2018-04-13,5,0
,,,2018-04-14,2,0
,,,2018-04-15,8,0
,,,2018-04-16,2,0
,,,2018-04-17,10,0
,,,2018-04-18,11,0
,,,2018-04-19,13,0
,,,2018-04-20,8,0
,,,2018-04-21,14,0
,,,2018-04-22,8,0
,,,2018-04-23,4,0
,,,2018-04-24,5,0
,,,2018-04-25,6,0
,,,2018-04-26,2,0
,,,2018-04-27,9,0
,,,2018-04-28,8,0
,,,2018-04-29,3,0
,,,2018-04-30,10,0
,,,2018-05-01,7,0
,,,2018-05-02,7,0
,,,2018-05-03,8,0
,,,2018-05-04,9,0
,,,2018-05-05,4,0
,,,2018-05-07,11,0
,,,2018-05-08,5,0
,,,2018-05-09,8,0
,,,2018-05-10,5,0
,,,2018-05-11,5,0
,,,2018-05-12,3,0
,,,2018-05-13,4,0
,,,2018-05-14,7,0
,,,2018-05-15,7,0
,,,2018-05-16,10,0
,,,2018-05-17,9,0
,,,2018-05-18,10,0
,,,2018-05-19,3,0
,,,2018-05-20,8,0
,,,2018-05-21,10,0
,,,2018-05-22,2,0
,,,2018-05-23,16,0
,,,2018-05-24,7,0
,,,2018-05-25,11,0
,,,2018-05-26,10,0
,,,2018-05-27,6,0
,,,2018-05-28,10,0
,,,2018-05-29,7,0
,,,2018-05-30,10,0
,,,2018-05-31,10,0
,,,2018-06-01,5,0
,,,2018-06-02,10,0
,,,2018-06-03,4,0
,,,2018-06-04,11,0
,,,2018-06-05,17,0
,,,2018-06-06,15,0
,,,2018-06-07,16,0
,,,2018-06-08,6,0
,,,2018-06-09,11,0
,,,2018-06-11,10,0
,,,2018-06-12,8,0
,,,2018-06-13,17,0
,,,2018-06-14,7,0
,,,2018-06-15,13,0
,,,2018-06-16,3,0
,,,2018-06-17,9,0
,,,2018-06-18,12,0
,,,2018-06-19,8,0
,,,2018-06-20,12,0
,,,2018-06-21,17,0
,,,2018-06-22,12,0
,,,2018-06-23,15,0
,,,2018-06-24,5,0
,,,2018-06-25,16,0
,,,2018-06-26,11,0
,,,2018-06-27,15,0
,,,2018-06-28,14,0
,,,2018-06-29,3,0
,,,2018-06-30,9,0
,,,2018-07-01,3,0
,,,2018-07-02,2,0
